file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

[17-Apr-2025 18:59:17 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/vdpetform/includes/class-vdpetform-activator.php on line 86
[17-Apr-2025 18:59:17 UTC] PHP Warning:  Undefined variable $post_data in /wordpress/wp-content/plugins/vdpetform/includes/class-vdpetform-activator.php on line 87
[17-Apr-2025 18:59:17 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/vdpetform/includes/class-vdpetform-activator.php on line 87
[17-Apr-2025 18:59:18 UTC] PHP Warning:  Undefined variable $plugin_basename in /wordpress/wp-content/plugins/vdpetform/includes/class-vdpetform.php on line 154
[17-Apr-2025 18:59:26 UTC] PHP Warning:  Undefined variable $plugin_basename in /wordpress/wp-content/plugins/vdpetform/includes/class-vdpetform.php on line 154
[17-Apr-2025 18:59:27 UTC] PHP Warning:  Undefined variable $post_data in /wordpress/wp-content/plugins/vdpetform/includes/class-vdpetform-activator.php on line 77
[17-Apr-2025 18:59:27 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/vdpetform/includes/class-vdpetform-activator.php on line 77
[17-Apr-2025 18:59:27 UTC] PHP Warning:  Undefined variable $post_data in /wordpress/wp-content/plugins/vdpetform/includes/class-vdpetform-activator.php on line 78
[17-Apr-2025 18:59:27 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/vdpetform/includes/class-vdpetform-activator.php on line 78
[17-Apr-2025 18:59:27 UTC] PHP Warning:  Undefined variable $post_data in /wordpress/wp-content/plugins/vdpetform/includes/class-vdpetform-activator.php on line 79
[17-Apr-2025 18:59:27 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/vdpetform/includes/class-vdpetform-activator.php on line 79
[17-Apr-2025 18:59:27 UTC] PHP Warning:  Undefined variable $post_data in /wordpress/wp-content/plugins/vdpetform/includes/class-vdpetform-activator.php on line 80
[17-Apr-2025 18:59:27 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/vdpetform/includes/class-vdpetform-activator.php on line 80
[17-Apr-2025 18:59:27 UTC] PHP Warning:  Undefined variable $post_data in /wordpress/wp-content/plugins/vdpetform/includes/class-vdpetform-activator.php on line 81
[17-Apr-2025 18:59:27 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/vdpetform/includes/class-vdpetform-activator.php on line 81
[17-Apr-2025 18:59:27 UTC] PHP Warning:  Undefined variable $post_data in /wordpress/wp-content/plugins/vdpetform/includes/class-vdpetform-activator.php on line 82
[17-Apr-2025 18:59:27 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/vdpetform/includes/class-vdpetform-activator.php on line 82
[17-Apr-2025 18:59:27 UTC] PHP Warning:  Undefined variable $post_data in /wordpress/wp-content/plugins/vdpetform/includes/class-vdpetform-activator.php on line 83
[17-Apr-2025 18:59:27 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/vdpetform/includes/class-vdpetform-activator.php on line 83
[17-Apr-2025 18:59:27 UTC] PHP Warning:  Undefined variable $post_data in /wordpress/wp-content/plugins/vdpetform/includes/class-vdpetform-activator.php on line 84
[17-Apr-2025 18:59:27 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/vdpetform/includes/class-vdpetform-activator.php on line 84
